video_id,views,likes,comments,crawl_date
25zeL0J1THk,3057854,12524,107,2025-11-25T03:45:56.452010+00:00
26U5cf9bNiE,36467,0,0,2025-11-25T03:45:56.452014+00:00
26tQsnhflh0,16063,0,0,2025-11-25T03:45:56.452016+00:00
28eAPvqhg2U,729,0,0,2025-11-25T03:45:56.452019+00:00
29zWz1ui6II,547675,2486,6,2025-11-25T03:45:56.452022+00:00
2C50xtQMVMM,5401,205,20,2025-11-25T03:45:56.452024+00:00
2DKnBfK5ypc,950,17,0,2025-11-25T03:45:56.452026+00:00
2E40aPocUQs,146991,375,0,2025-11-25T03:45:56.452029+00:00
2EjLHYI-n24,166429,4278,94,2025-11-25T03:45:56.452031+00:00
2Eq-mp3UFAI,365,6,0,2025-11-25T03:45:56.452034+00:00
2ExqbhsZJQ0,934,17,0,2025-11-25T03:45:56.452036+00:00
2F2wK906bKM,46655,195,3,2025-11-25T03:45:56.452038+00:00
2IWS-ECj-LE,1587,30,0,2025-11-25T03:45:56.452040+00:00
2Iy2oxU8s3Q,1020987,0,30,2025-11-25T03:45:56.452044+00:00
2JdpkwzNNho,159198,2021,49,2025-11-25T03:45:56.452046+00:00
2JiI4w3J61Y,839,46,3,2025-11-25T03:45:56.452049+00:00
2LDDTV2qhRk,1552,13,1,2025-11-25T03:45:56.452051+00:00
2NVSqboAv-Q,32752,404,0,2025-11-25T03:45:56.452053+00:00
2O06Fs6T1us,23485,0,6,2025-11-25T03:45:56.452056+00:00
2PGjE7FJZuM,5,0,0,2025-11-25T03:45:56.452058+00:00
2PTbB3nd3UA,1047,0,0,2025-11-25T03:45:56.452060+00:00
2Rfov3AL-6o,211917,4053,39,2025-11-25T03:45:56.452062+00:00
2SBtm25LSdo,157,0,0,2025-11-25T03:45:56.452065+00:00
2TG_7qgAAkk,52871,290,0,2025-11-25T03:45:56.452067+00:00
2UBhXMrkXvs,605,16,0,2025-11-25T03:45:56.452069+00:00
2WIk5hT-bHg,2148,0,0,2025-11-25T03:45:56.452072+00:00
2WpC1kXlfQU,7503701,128655,235,2025-11-25T03:45:56.452074+00:00
2XqV3KynKHo,343808,3855,6,2025-11-25T03:45:56.452076+00:00
2YY-CM73lwQ,2076,85,6,2025-11-25T03:45:56.452079+00:00
2YlFJEcW4A0,105131,3693,35,2025-11-25T03:45:56.452081+00:00
2aScpW6NTG4,39765,0,20,2025-11-25T03:45:56.452083+00:00
2bltp1PnrEg,1500,11,0,2025-11-25T03:45:56.452085+00:00
2cGqZM7FRh0,61874,2124,170,2025-11-25T03:45:56.452088+00:00
2d5-1hdO8aE,2085460,46535,379,2025-11-25T03:45:56.452090+00:00
2d8fl45EvO8,1020,7,1,2025-11-25T03:45:56.452093+00:00
2eVlBZJPZsk,1766,2,0,2025-11-25T03:45:56.452095+00:00
2hBwR1SBmD4,1571687,5098,18,2025-11-25T03:45:56.452097+00:00
2hS3eU08j2E,1838,168,51,2025-11-25T03:45:57.056159+00:00
2iM-Zyp8aLw,1454,19,0,2025-11-25T03:45:57.056178+00:00
2j9_LqeX50o,59604,3221,25,2025-11-25T03:45:57.056181+00:00
2lAsB5Jrtx0,5645,105,7,2025-11-25T03:45:57.056184+00:00
2lLMKHbYy-g,4891,132,6,2025-11-25T03:45:57.056187+00:00
2lUA5p1_fZ0,72,1,0,2025-11-25T03:45:57.056189+00:00
2mZYqRc8Bfg,1667948,6396,1,2025-11-25T03:45:57.056192+00:00
2nHJJn1CJgg,4581,54,0,2025-11-25T03:45:57.056194+00:00
2oFBH5Id96E,10646,801,11,2025-11-25T03:45:57.056197+00:00
2oayk-99Ksg,930,0,12,2025-11-25T03:45:57.056200+00:00
2s06zNqRWss,150657,796,29,2025-11-25T03:45:57.056202+00:00
2sz0e684yhU,11220,0,0,2025-11-25T03:45:57.056205+00:00
2tAHHbdkvhQ,46114,1237,29,2025-11-25T03:45:57.056207+00:00
2u-7WOrv2Jg,1066,95,4,2025-11-25T03:45:57.056210+00:00
2uKCBPa_p_Q,1484,15,0,2025-11-25T03:45:57.056212+00:00
2v_io6MudGI,36220,0,0,2025-11-25T03:45:57.056214+00:00
2w-3nAORhy0,802602,13202,32,2025-11-25T03:45:57.056217+00:00
2w-j6tv2Qcw,3921,140,0,2025-11-25T03:45:57.056219+00:00
2zvEDHbNXU8,695,96,0,2025-11-25T03:45:57.056221+00:00
3-UDRPd7gQM,29358,0,6,2025-11-25T03:45:57.056224+00:00
36j4oYEftbk,3306,11,0,2025-11-25T03:45:57.056226+00:00
383i-TDWQqQ,15475,0,1,2025-11-25T03:45:57.056228+00:00
39tSbA2ny24,33187,195,0,2025-11-25T03:45:57.056231+00:00
3An2OPDO3qY,191717,4620,34,2025-11-25T03:45:57.056233+00:00
3DSylpekh1U,44965,145,7,2025-11-25T03:45:57.056235+00:00
3EqRMYR24Ps,222539,0,0,2025-11-25T03:45:57.056238+00:00
3HJ4tBxwYHw,1689,35,0,2025-11-25T03:45:57.056240+00:00
3KSmHinjF-k,5708,54,3,2025-11-25T03:45:57.056242+00:00
3KfdL3MrFE0,2069,11,0,2025-11-25T03:45:57.056245+00:00
3LmahjW-aK8,26594,152,1,2025-11-25T03:45:57.056247+00:00
3M-75o5OgxY,1055,3,0,2025-11-25T03:45:57.056250+00:00
3N3qo5mT5Ek,21571,0,0,2025-11-25T03:45:57.056253+00:00
3QNnalpjsAI,4418,34,28,2025-11-25T03:45:57.056255+00:00
3QupPxYDZM8,60938,921,453,2025-11-25T03:45:57.056257+00:00
3S-NQLpOI2A,1252,0,5,2025-11-25T03:45:57.056260+00:00
3SzeolfvXsU,14697,686,89,2025-11-25T03:45:57.056263+00:00
